paper_name,Attack Name,Objective,Threat Model,Attacker Knowledge,is Backdoor,Attack Type,Attack Phase,Domain,Task Type,Applicable in the physical domain,Description,Attack's success rate - digital domain,Attack's success rate - physical domain,Attacked models,Datasets,Reference
100_FoolingEndToEndSpeakerVerificationWithAdversarialExamples.pdf,White-box attack,Integrity,Gradiant Based,WhiteBox,False,Evasion,Serving,0.0,no,Noise added to original examples.,69.94%,,['End-to-end deep neural models'],"['YOHO', 'NTIMIT']",https://arxiv.org/abs/1803.09118
100_FoolingEndToEndSpeakerVerificationWithAdversarialExamples.pdf,Cross-dataset black-box attack,Integrity,Interactive,BlackBox,False,Evasion,Serving,0.0,no,Crafted on a different dataset.,22.62%,,['End-to-end deep neural models'],"['YOHO', 'NTIMIT']",https://arxiv.org/abs/1803.09118
100_FoolingEndToEndSpeakerVerificationWithAdversarialExamples.pdf,Cross-features black-box attack,Integrity,Interactive,BlackBox,False,Evasion,Serving,0.0,no,Crafted with different features.,18.75%,,['End-to-end deep neural models'],"['YOHO', 'NTIMIT']",https://arxiv.org/abs/1803.09118
101_Datadrivenexploratoryattacksonblackboxclassifiersinadversarialdomains.pdf,SEE,Integrity,Interactive,BlackBox,False,Evasion,Serving,0.0,no,Data driven reverse engineering on classifiers.,Varies,,Various,Multiple,https://arxiv.org/abs/1703.09752
105_SquareAttackAQueryEfficientBlackBoxAdversarialAttackviaRandomSearch.pdf,Square Attack,Integrity,Interactive,BlackBox,False,Evasion,Serving,0.0,no,Black-box attack using random search.,Not specified,,"['Inception v3', 'ResNet-50', 'VGG-16-BN']",['ImageNet'],https://github.com/max-andr/square-attack
106_AdvwatermarkANovelWatermarkPerturbationforAdversarialExamples.pdf,Adv-watermark,Integrity,Interactive,BlackBox,False,Evasion,Serving,0.0,yes,Watermark-based adversarial crafting.,97%,,"['Alexnet', 'VGG19', 'SqueezeNet1_0', 'Resnet101', 'InceptionV3']","['ImageNet', 'CASIA-WebFace']",https://doi.org/10.1145/3394171.3413976
107_WhoisRealBobAdversarialAttacksonSpeakerRecognitionSystems.pdf,FAKEBOB,Integrity,Interactive,BlackBox,False,Evasion,Serving,0.0,yes,Misclassification attack on SRS,99%,Varies,"['ivector-PLDA', 'GMM-UBM', 'xvector-PLDA', 'Talentedsoft', 'Microsoft Azure']","['VoxCeleb', 'LibriSpeech', 'aishell-1']",https://arxiv.org/abs/2004.06954
107_WhoisRealBobAdversarialAttacksonSpeakerRecognitionSystems.pdf,FAKEBOB,Integrity,Transferable,BlackBox,False,Evasion,Serving,0.0,yes,Transfer attack to different AI models,51%,Varies,"['ivector-PLDA', 'GMM-UBM', 'xvector-PLDA', 'Microsoft Azure']","['VoxCeleb', 'LibriSpeech', 'aishell-1']",https://arxiv.org/abs/2004.06954
108_AdvHatRealWorldAdversarialAttackonArcFaceFaceIDSystem.pdf,AdvHat,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,0.0,yes,Adversarial sticker on a hat deceives ArcFace Face ID.,,>0.5 reduction,"['LResNet100E-IR, ArcFace@ms1m-refine-v2', 'LResNet50E-IR', 'LResNet34E-IR', 'MobileFaceNet']",CASIA-WebFace,https://arxiv.org/abs/1905.13725
10_Understandingadversarialattacksondeeplearningbasedmedicalimageanalysissystems.pdf,Not specified,Integrity,Gradient-Based,WhiteBox,False,Evasion,Serving,0.0,no,Small imperceptible perturbations cause misdiagnosis.,Varies,,ResNet-50,"Fundoscopy, Chest X-Ray, Dermoscopy",https://doi.org/10.1016/j.patcog.2020.107332
113_SLAPImprovingPhysicalAdversarialExampleswithShortLivedAdversarialPerturbations.pdf,SLAP,Integrity,Interactive,WhiteBox,False,Evasion,Serving,0.0,yes,Projector-based adversarial examples,99%,varies,"['Yolov3', 'Mask-RCNN', 'Lisa-CNN', 'Gtsrb-CNN']","['LISA', 'GTSRB']",https://www.usenix.org/conference/usenixsecurity21/presentation/lovisotto
114_HybridBatchAttacksFindingBlackboxAdversarialExampleswithLimitedQueries.pdf,Hybrid Batch Attack,Integrity,Interactive,BlackBox,False,Evasion,Serving,0.0,no,"Combines transfer, optimization attacks",98.9%,0.0,"['MNIST model A', 'CIFAR10 DenseNet', 'ImageNet DenseNet']","['MNIST', 'CIFAR10', 'ImageNet']",https://www.usenix.org/conference/usenixsecurity20/presentation/suya
115_DevilsWhisperAGeneralApproachforPhysicalAdversarialAttacksagainstCommercialBlackboxSpeechRecognitionDevices.pdf,Devil’s Whisper,Integrity,Interactive,BlackBox,False,Evasion,Serving,0.0,yes,Adversarial audio clips to attack ASR systems,100%,98%,"['Google Cloud Speech-to-Text', 'Microsoft Bing Speech Service', 'Amazon Transcribe', 'IBM Speech to Text']",Synthesized TTS with noise and speed modifications,https://www.usenix.org/conference/usenixsecurity20/presentation/chen-yuxuan
116_AreAlphaZerolikeAgentsRobusttoAdversarialPerturbations.pdf,GoAttack,Integrity,Interactive,BlackBox,False,Evasion,Serving,0.0,no,Perturbing Go game state with meaningless actions,58%,,"['Policy-Value neural network (PV-NN)', 'Monte Carlo tree search (MCTS)']","['AlphaGo Zero self-play games', 'NoGo']",https://PaperCode.cc/GoAttack
117_DecisionbasedBlackboxAttackAgainstVisionTransformersviaPatchwiseAdversarialRemoval.pdf,PAR,Integrity,Interactive,BlackBox,False,Evasion,Serving,0.0,no,Patch-wise noise compression,,,"['vit-tiny-patch16', 'vit-small-r26-s32-224', 'vit-small-patch16-224', 'resnet-18', 'resnet-101', 'inceptionv3', 'inception-resnetv2', 'nasnet', 'densenet-161', 'vgg19-bn', 'senet-154']","['ImageNet-21k', 'ILSVRC-2012', 'Tiny-Imagenet']",
118_PracticalAdversarialAttacksonSpatiotemporalTrafficForecastingModels.pdf,STPGD-TDNS,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,0.0,no,Biases traffic predictions.,67.8%,,['GraphWaveNet'],"['PEMS-BAY', 'METR-LA']",https://github.com/usail-hkust/Adv-ST
118_PracticalAdversarialAttacksonSpatiotemporalTrafficForecastingModels.pdf,STMIM-TDNS,Integrity,Gradient Based,BlackBox,False,Evasion,Serving,0.0,no,Misleads models with adversarial states.,56.67%,,['GraphWaveNet'],"['PEMS-BAY', 'METR-LA']",https://github.com/usail-hkust/Adv-ST
119_EADElasticnetattackstodeepneuralnetworksviaadversarialexamples.pdf,EAD,Integrity,Gradient-Based,WhiteBox,False,Evasion,Serving,0.0,yes,Elastic-net regularized optimization for adversarial examples.,100%,,['Inception-v3'],"['MNIST', 'CIFAR10', 'ImageNet']",https://arxiv.org/abs/1709.04114
11_GeneralizabilityvsRobustnessInvestigatingMedicalImagingNetworksUsingAdversarialExamples.pdf,FGSM,Integrity,Interactive,BlackBox,False,Evasion,Serving,0.0,no,One-step pixel-level update to maximize loss.,Inferred from performance drop,,"['InceptionV3', 'InceptionV4', 'MobileNet']",Dermofit,Not provided
11_GeneralizabilityvsRobustnessInvestigatingMedicalImagingNetworksUsingAdversarialExamples.pdf,DF,Integrity,Interactive,BlackBox,False,Evasion,Serving,0.0,no,Iterative greedy search to decision boundary.,Inferred from performance drop,,"['InceptionV3', 'InceptionV4', 'MobileNet']",Dermofit,Not provided
11_GeneralizabilityvsRobustnessInvestigatingMedicalImagingNetworksUsingAdversarialExamples.pdf,SMA,Integrity,Interactive,BlackBox,False,Evasion,Serving,0.0,no,Perturbs pixels to change output significantly.,Inferred from performance drop,,"['InceptionV3', 'InceptionV4', 'MobileNet']",Dermofit,Not provided
11_GeneralizabilityvsRobustnessInvestigatingMedicalImagingNetworksUsingAdversarialExamples.pdf,DAG,Integrity,Interactive,BlackBox,False,Evasion,Serving,0.0,no,Crafts adversarial examples for segmentation.,Inferred from performance drop,,"['SegNet', 'UNet', 'DenseNet']",OASIS,Not provided
